Company,Num_Employees,Address,Latitude,Longitude
Innotech.pt,160,"Rua Viriato 13E Edifício Picoas Plaza - Núcleo 6, 4ºD, 1050-206 Lisboa, Portugal",38.7306314,-9.1483907
Cloudfare,340,"Av. da Índia 10, Torre B 6º Piso, 1300-299 Lisboa, Portugal",38.7018409,-9.17687
Olisipo,700,"Lisbon, Portugal",38.7222524,-9.1393366
Multivision,184,"R. Soeiro Pereira Gomes 1 10, 1600-196 Lisboa, Portugal",38.7447092,-9.1599878
Banco de Portugal,1700,"Lisbon, Portugal",38.7222524,-9.1393366
PwC Portugal,2900,"Palácio Sottomayor, Av. Fontes Pereira de Melo nº16, 1050-121 Lisboa, Portugal",38.728527,-9.1468019
Altice Labs,700,"Av. Rio de Janeiro 66, 1700-338 Lisboa, Portugal",38.7579976,-9.1405903
Syone,200,"Ed. Stern 3D, R. Alfredo da Silva 8A, 2610-016 Lisboa, Portugal",38.7404546,-9.229695099999999
tb.lx,130,"R. Nova da Trindade 3, 1200-301 Lisboa, Portugal",38.7110179,-9.1424372
NOS,2400,"CC Amoreiras Shopping Center, Av. Eng. Duarte Pacheco lj. 1109, 1070-103 Lisboa, Portugal",38.7233826,-9.1633661
HN Services,200,"Av. Dom João II 11, Torre A 11º Piso, 1990-077 Lisboa, Portugal",38.76369,-9.098339900000001
360 Imprimir,175,"Lisbon, Portugal",38.7222524,-9.1393366
TIMWETECH,600,"Av. Infante Santo 2H 3rd floor, 1350-178 Lisboa, Portugal",38.70433939999999,-9.1677674
Miniclip,277,"Lisbon, Portugal",38.7222524,-9.1393366
